iter	Passed	Remaining
657	10411	2246
658	10425	2230
659	10440	2214
660	10453	2198
661	10467	2182
662	10481	2165
663	10495	2149
664	10509	2133
665	10524	2117
666	10547	2103
667	10560	2086
668	10574	2070
669	10589	2054
670	10604	2038
671	10620	2022
672	10635	2007
673	10650	1991
674	10665	1975
675	10679	1958
676	10692	1942
677	10705	1926
678	10721	1910
679	10737	1894
680	10752	1878
681	10767	1863
682	10792	1848
683	10805	1832
684	10819	1816
685	10834	1800
686	10849	1784
687	10864	1768
688	10879	1752
689	10893	1736
690	10907	1720
691	10920	1704
692	10935	1688
693	10950	1672
694	10965	1656
695	10989	1642
696	11002	1625
697	11016	1609
698	11031	1593
699	11046	1578
700	11060	1562
701	11075	1546
702	11090	1530
703	11104	1514
704	11118	1498
705	11132	1482
706	11146	1466
707	11162	1450
708	11177	1434
709	11192	1418
710	11207	1402
711	11222	1387
712	11236	1371
713	11251	1355
714	11265	1339
715	11280	1323
716	11293	1307
717	11308	1291
718	11322	1275
719	11336	1259
720	11350	1243
721	11363	1227
722	11376	1211
723	11390	1195
724	11404	1179
725	11418	1163
726	11432	1147
727	11446	1132
728	11459	1116
729	11473	1100
730	11488	1084
731	11503	1068
732	11518	1052
733	11533	1037
734	11547	1021
735	11561	1005
736	11574	989
737	11588	973
738	11603	957
739	11617	941
740	11633	926
741	11648	910
742	11663	894
743	11679	879
744	11693	863
745	11707	847
746	11720	831
747	11736	815
748	11750	800
749	11765	784
750	11779	768
751	11794	752
752	11809	737
753	11823	721
754	11836	705
755	11849	689
756	11863	673
757	11878	658
758	11893	642
759	11908	626
760	11923	611
761	11936	595
762	11950	579
763	11964	563
764	11978	548
765	11993	532
766	12018	517
767	12030	501
768	12045	485
769	12059	469
770	12076	454
771	12090	438
772	12104	422
773	12119	407
774	12133	391
775	12147	375
776	12162	360
777	12177	344
778	12192	328
779	12207	313
780	12222	297
781	12236	281
782	12251	265
783	12265	250
784	12279	234
785	12291	218
786	12305	203
787	12319	187
788	12333	171
789	12346	156
790	12359	140
791	12372	124
792	12386	109
793	12410	93
794	12422	78
795	12436	62
796	12451	46
797	12465	31
798	12480	15
799	12494	0
